pottername	limes	count
Peregrinus i	RätischeLimes	1
Secundinus i	RätischeLimes	1
Vitalis ii	RätischeLimes	1
Aemilius i	Wetteraulimes	1
Astaurus (Asaurus or Tastaurus?)	Wetteraulimes	1
Bassus iii	Wetteraulimes	4
Bollus ii	Wetteraulimes	1
C. Cincius Senovirus (G. Cingius)	Wetteraulimes	1
C. Iulius Clemens (C. Iul- Clem-)	Wetteraulimes	1
C. Iulius Primig- (C. Iul- Primic- or G. Iul- Prim- etc.)	Wetteraulimes	4
C. Iulius Vas- (C. Iul- Vas-)	Wetteraulimes	2
C. S- Ruf-	Wetteraulimes	1
C. Silvius Patricius	Wetteraulimes	1
Caicus	Wetteraulimes	1
Calvus i	Wetteraulimes	5
Candidus i	Wetteraulimes	1
Carantus i	Wetteraulimes	4
Casius?	Wetteraulimes	1
Celsus ii	Wetteraulimes	3
Censor i	Wetteraulimes	5
Cl- Gemma (Claudius Gemma)?	Wetteraulimes	2
Coelus ii	Wetteraulimes	3
Crestus i	Wetteraulimes	3
Felix i	Wetteraulimes	2
Felix i-Sev-	Wetteraulimes	1
Flavius Germanus (L. Flavius Germanus)	Wetteraulimes	13
Flavius Sabinus	Wetteraulimes	1
Frontinus	Wetteraulimes	6
Fuscus ii	Wetteraulimes	18
G. At- Pas-	Wetteraulimes	1
Ingenuus iii	Wetteraulimes	2
Iucundus iii	Wetteraulimes	1
Iulia- Tem- (Iulius Atem-/ Iulianus i- Tem-)	Wetteraulimes	1
Iullinus i	Wetteraulimes	2
Iustus i	Wetteraulimes	1
Ivenalis	Wetteraulimes	1
L. Cosius	Wetteraulimes	1
L. Cosius Virilis	Wetteraulimes	26
L. Fabu-	Wetteraulimes	1
L. Iulius Senex	Wetteraulimes	1
L. Ter- Secundus	Wetteraulimes	4
L. Tr- Masculus	Wetteraulimes	3
Lic- Seve- (Licinius Severus)?	Wetteraulimes	4
M. Iulius Seve- (M. Iu- Seve-)	Wetteraulimes	1
Ma- ii	Wetteraulimes	2
Macer i	Wetteraulimes	1
Marianus i	Wetteraulimes	1
Marinus i	Wetteraulimes	1
Masclinus	Wetteraulimes	1
Masclus i (Masculus)	Wetteraulimes	1
Maternus ii (Mater-)?	Wetteraulimes	2
Memor	Wetteraulimes	2
Mercator i (Mercatoris)?	Wetteraulimes	3
Mommo	Wetteraulimes	3
Mona-	Wetteraulimes	1
Murranus i	Wetteraulimes	1
Natalis i	Wetteraulimes	1
Nertus i	Wetteraulimes	1
Ocel- (Oces-)?	Wetteraulimes	1
Pas-	Wetteraulimes	1
Passenus (Passienus)	Wetteraulimes	2
Patricius i	Wetteraulimes	7
Paullus iii	Wetteraulimes	1
Polio ii (Pollio)	Wetteraulimes	1
Pontus (Pontius)?	Wetteraulimes	2
Primulus i	Wetteraulimes	1
Primus iii	Wetteraulimes	1
Pugnus i	Wetteraulimes	1
Rufus iii	Wetteraulimes	1
Sarrutus	Wetteraulimes	1
Secundinus i	Wetteraulimes	2
Secundus ii	Wetteraulimes	2
Severus iii	Wetteraulimes	13
Sextius Can- (Sex- Can-)	Wetteraulimes	8
Sextus i	Wetteraulimes	1
Silanus ii	Wetteraulimes	1
Silvinus ii	Wetteraulimes	2
Sulpicius	Wetteraulimes	6
Tabius Virtus (Tabus-Virtus or Tabus-Virutis)?	Wetteraulimes	4
Vebr-	Wetteraulimes	1
Verecundus ii	Wetteraulimes	1
Virilis ii	Wetteraulimes	10
Vitalis ii	Wetteraulimes	22
Vitalis ii-P-	Wetteraulimes	2
